,cycle,population__t1,population__t2,population__t3
0,0,1,1,1
1,1,1,1,1
2,2,1,1,1
3,3,1,1,1
4,4,1,1,1
5,5,1,1,1
6,6,1,1,1
7,7,1,1,1
8,8,1,1,1
9,9,1,1,1
10,10,1,1,1
11,11,1,1,1
12,12,1,1,1
13,13,1,1,1
14,14,1,1,1
15,15,1,1,1
16,16,1,1,1
17,17,1,1,1
18,18,1,1,1
19,19,1,1,1
20,20,1,1,1
21,21,1,1,1
22,22,1,1,1
23,23,1,1,1
24,24,1,1,1
25,25,1,1,1
26,26,1,1,1
27,27,1,1,1
28,28,1,1,1
29,29,1,1,1
30,30,1,1,1
31,31,1,1,1
32,32,1,1,1
33,33,1,1,1
34,34,2,2,2
35,35,2,2,2
36,36,2,2,2
37,37,2,2,2
38,38,2,2,2
39,39,2,2,2
40,40,2,2,2
41,41,2,2,2
42,42,2,2,2
43,43,2,2,2
44,44,2,2,2
45,45,2,2,2
46,46,2,2,2
47,47,2,2,2
48,48,2,2,2
49,49,2,2,2
50,50,2,2,2
51,51,2,2,2
52,52,2,2,2
53,53,2,2,2
54,54,2,2,2
55,55,2,2,2
56,56,2,2,2
57,57,2,2,2
58,58,2,2,2
59,59,2,2,2
60,60,2,2,2
61,61,2,2,2
62,62,2,2,2
63,63,2,2,2
64,64,2,2,2
65,65,2,2,2
66,66,2,2,2
67,67,2,2,2
68,68,4,4,4
69,69,4,4,4
70,70,4,4,4
71,71,4,4,4
72,72,4,4,4
73,73,4,4,4
74,74,4,4,4
75,75,4,4,4
76,76,4,4,4
77,77,4,4,4
78,78,4,4,4
79,79,4,4,4
80,80,4,4,4
81,81,4,4,4
82,82,4,4,4
83,83,4,4,4
84,84,4,4,4
85,85,4,4,4
86,86,4,4,4
87,87,4,4,4
88,88,4,4,4
89,89,4,4,4
90,90,4,4,4
91,91,4,4,4
92,92,4,4,4
93,93,4,4,4
94,94,4,4,4
95,95,4,4,4
96,96,4,4,4
97,97,4,4,4
98,98,4,4,4
99,99,4,4,4
100,100,4,4,4
101,101,8,8,8
102,102,8,8,8
103,103,8,8,8
104,104,8,8,8
105,105,8,8,8
106,106,8,8,8
107,107,8,8,8
108,108,8,8,8
109,109,8,8,8
110,110,8,8,8
111,111,8,8,8
112,112,8,8,8
113,113,8,8,8
114,114,8,8,8
115,115,8,8,8
116,116,8,8,8
117,117,8,8,8
118,118,8,8,8
119,119,8,8,8
120,120,8,8,8
121,121,8,8,8
122,122,8,8,8
123,123,8,8,8
124,124,8,8,8
125,125,8,8,8
126,126,8,8,8
127,127,8,8,8
128,128,8,8,8
129,129,8,8,8
130,130,8,8,8
131,131,8,8,8
132,132,8,8,8
133,133,8,8,8
134,134,8,8,8
135,135,16,16,16
136,136,16,16,16
137,137,16,16,16
138,138,16,16,16
139,139,16,16,16
140,140,16,16,16
141,141,16,16,16
142,142,16,16,16
143,143,16,16,16
144,144,16,16,16
145,145,16,16,16
146,146,16,16,16
147,147,16,16,16
148,148,16,16,16
149,149,16,16,16
150,150,16,16,16
151,151,16,16,16
152,152,16,16,16
153,153,16,16,16
154,154,16,16,16
155,155,16,16,16
156,156,16,16,16
157,157,16,16,16
158,158,16,16,16
159,159,16,16,16
160,160,16,16,16
161,161,16,16,16
162,162,16,16,16
163,163,16,16,16
164,164,16,16,16
165,165,16,16,16
166,166,16,16,16
167,167,16,16,16
168,168,32,32,32
169,169,32,32,32
170,170,32,32,32
171,171,32,32,32
172,172,32,32,32
173,173,32,32,32
174,174,32,32,32
175,175,32,32,32
176,176,32,32,32
177,177,32,32,32
178,178,32,32,32
179,179,32,32,32
180,180,32,32,32
181,181,32,32,32
182,182,32,32,32
183,183,32,32,32
184,184,32,32,32
185,185,32,32,32
186,186,32,32,32
187,187,32,32,32
188,188,32,32,32
189,189,32,32,32
190,190,32,32,32
191,191,32,32,32
192,192,32,32,32
193,193,32,32,32
194,194,32,32,32
195,195,32,32,32
196,196,32,32,32
197,197,32,32,32
198,198,32,32,32
199,199,32,32,32
200,200,32,32,32
201,201,32,32,32
202,202,64,64,64
203,203,64,64,64
204,204,64,64,64
205,205,64,64,64
206,206,64,64,64
207,207,64,64,64
208,208,64,64,64
209,209,64,64,64
210,210,64,64,64
211,211,64,64,64
212,212,64,64,64
213,213,64,64,64
214,214,64,64,64
215,215,64,64,64
216,216,64,64,64
217,217,64,64,64
218,218,64,64,64
219,219,64,64,64
220,220,64,64,64
221,221,64,64,64
222,222,64,64,64
223,223,64,64,64
224,224,64,64,64
225,225,64,64,64
226,226,64,64,64
227,227,64,64,64
228,228,64,64,64
229,229,64,64,64
230,230,64,64,64
231,231,64,64,64
232,232,64,64,64
233,233,64,64,64
234,234,64,64,64
235,235,128,128,128
236,236,128,128,128
237,237,128,128,128
238,238,128,128,128
239,239,128,128,128
240,240,128,128,128
241,241,128,128,128
242,242,128,128,128
243,243,128,128,128
244,244,128,128,128
245,245,128,128,128
246,246,128,128,128
247,247,128,128,128
248,248,128,128,128
249,249,128,128,128
250,250,128,128,128
251,251,128,128,128
252,252,128,128,128
253,253,128,128,128
254,254,128,128,128
255,255,128,128,128
256,256,128,128,128
257,257,128,128,128
258,258,128,128,128
259,259,128,128,128
260,260,128,128,128
261,261,128,128,128
262,262,128,128,128
263,263,128,128,128
264,264,128,128,128
265,265,128,128,128
266,266,128,128,128
267,267,128,128,128
268,268,128,128,128
269,269,128,128,128
270,270,128,128,128
271,271,128,128,128
272,272,128,128,128
273,273,128,128,128
274,274,128,128,128
275,275,128,128,128
276,276,128,128,128
277,277,128,128,128
278,278,128,128,128
279,279,128,128,128
280,280,128,128,128
281,281,128,128,128
282,282,128,128,128
283,283,128,128,128
284,284,128,128,128
285,285,128,128,128
286,286,128,128,128
287,287,128,128,128
288,288,128,128,128
289,289,128,128,128
290,290,128,128,128
291,291,128,128,128
292,292,128,128,128
293,293,128,128,128
294,294,128,128,128
295,295,128,128,128
296,296,128,128,128
297,297,128,128,128
298,298,128,128,128
299,299,128,128,128
300,300,128,128,128
301,301,128,128,128
302,302,128,128,128
303,303,128,128,128
304,304,128,128,128
305,305,128,128,128
306,306,128,127,128
307,307,128,127,128
308,308,128,127,127
309,309,128,127,127
310,310,128,127,127
311,311,126,125,124
312,312,126,125,124
313,313,124,125,122
314,314,124,125,122
315,315,124,125,122
316,316,123,123,118
317,317,123,123,118
318,318,120,114,114
319,319,120,114,114
320,320,120,114,114
321,321,113,112,110
322,322,113,112,110
323,323,108,109,106
324,324,108,109,106
325,325,108,109,106
326,326,106,102,104
327,327,106,102,104
328,328,100,99,96
329,329,100,99,96
330,330,100,99,96
331,331,93,90,89
332,332,93,90,89
333,333,84,83,83
334,334,84,83,83
335,335,84,83,83
336,336,80,78,80
337,337,80,78,80
338,338,72,71,73
339,339,72,71,73
340,340,72,71,73
341,341,62,66,65
342,342,62,66,65
343,343,56,65,61
344,344,56,65,61
345,345,56,65,61
346,346,54,60,58
347,347,54,60,58
348,348,50,54,53
349,349,50,54,53
350,350,50,54,53
351,351,49,52,52
352,352,49,52,52
353,353,49,48,51
354,354,49,48,51
355,355,49,48,51
356,356,47,45,50
357,357,47,45,50
358,358,46,43,50
359,359,46,43,50
360,360,46,43,50
361,361,43,42,48
362,362,43,42,48
363,363,42,42,47
364,364,42,42,47
365,365,42,42,47
366,366,41,41,46
367,367,41,41,46
368,368,41,41,45
369,369,41,41,45
370,370,41,41,45
371,371,41,41,45
372,372,41,41,45
373,373,41,41,45
374,374,41,41,45
375,375,41,41,45
376,376,41,41,45
377,377,41,41,45
378,378,41,41,45
379,379,41,41,45
380,380,41,41,45
381,381,41,41,45
382,382,41,41,45
383,383,41,40,45
384,384,41,40,45
385,385,41,40,45
386,386,41,40,44
387,387,41,40,44
388,388,41,39,42
389,389,41,39,42
390,390,41,39,42
391,391,41,39,42
392,392,41,39,42
393,393,41,39,42
394,394,41,39,42
395,395,41,39,42
396,396,41,39,41
397,397,41,39,41
398,398,41,39,40
399,399,41,39,40
400,400,41,39,40
401,401,41,39,40
402,402,41,39,40
403,403,41,39,40
404,404,41,39,40
405,405,41,39,40
406,406,41,39,40
407,407,41,39,40
408,408,41,39,40
409,409,41,39,40
410,410,41,39,40
411,411,41,39,40
412,412,41,39,40
413,413,41,39,40
414,414,41,39,40
415,415,41,39,40
416,416,41,39,40
417,417,41,39,40
418,418,41,39,40
419,419,41,39,40
420,420,41,39,40
421,421,41,39,40
422,422,41,39,40
423,423,41,39,40
424,424,41,39,40
425,425,41,39,40
426,426,41,39,40
427,427,41,39,40
428,428,41,39,40
429,429,41,39,40
430,430,41,39,40
431,431,41,39,40
432,432,41,39,40
433,433,41,39,40
434,434,41,39,40
435,435,41,39,40
436,436,41,39,40
437,437,41,39,40
438,438,41,39,40
439,439,41,39,40
440,440,41,39,40
441,441,41,39,40
442,442,41,39,40
443,443,41,39,40
444,444,41,39,40
445,445,41,39,40
446,446,41,39,40
447,447,41,39,40
448,448,40,39,40
449,449,40,39,40
450,450,40,39,40
451,451,40,39,40
452,452,40,39,40
453,453,40,39,40
454,454,40,39,40
455,455,40,39,40
456,456,40,39,40
457,457,40,39,40
458,458,40,39,40
