,cycle,season (num),population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
0,0,0,1,1,2,1,1,2,1,1,2
1,1,0,1,1,2,1,1,2,1,1,2
2,2,0,1,1,2,1,1,2,1,1,2
3,3,0,1,1,2,1,1,2,1,1,2
4,4,0,1,1,2,1,1,2,1,1,2
5,5,0,1,1,2,1,1,2,1,1,2
6,6,0,1,1,2,1,1,2,1,1,2
7,7,0,1,1,2,1,1,2,1,1,2
8,8,0,1,1,2,1,1,2,1,1,2
9,9,0,1,1,2,1,1,2,1,1,2
10,10,0,1,1,2,1,1,2,1,1,2
11,11,0,1,1,2,1,1,2,1,1,2
12,12,0,1,1,2,1,1,2,1,1,2
13,13,0,1,1,2,1,1,2,1,1,2
14,14,0,1,1,2,1,1,2,1,1,2
15,15,0,1,1,2,1,1,2,1,1,2
16,16,0,1,1,2,1,1,2,1,1,2
17,17,0,1,1,2,1,1,2,1,1,2
18,18,0,1,1,2,1,1,2,1,1,2
19,19,0,1,1,2,1,1,2,1,1,2
20,20,0,1,1,2,1,1,2,1,1,2
21,21,0,1,1,2,1,1,2,1,1,2
22,22,0,1,1,2,1,1,2,1,1,2
23,23,0,2,2,4,2,2,4,2,2,4
24,24,0,2,2,4,2,2,4,2,2,4
25,25,0,2,2,4,2,2,4,2,2,4
26,26,0,2,2,4,2,2,4,2,2,4
27,27,0,2,2,4,2,2,4,2,2,4
28,28,0,2,2,4,2,2,4,2,2,4
29,29,0,2,2,4,2,2,4,2,2,4
30,30,0,2,2,4,2,2,4,2,2,4
31,31,0,2,2,4,2,2,4,2,2,4
32,32,0,2,2,4,2,2,4,2,2,4
33,33,0,2,2,4,2,2,4,2,2,4
34,34,0,2,2,4,2,2,4,2,2,4
35,35,0,2,2,4,2,2,4,2,2,4
36,36,0,2,2,4,2,2,4,2,2,4
37,37,0,2,2,4,2,2,4,2,2,4
38,38,0,2,2,4,2,2,4,2,2,4
39,39,0,2,2,4,2,2,4,2,2,4
40,40,0,2,2,4,2,2,4,2,2,4
41,41,0,2,2,4,2,2,4,2,2,4
42,42,0,2,2,4,2,2,4,2,2,4
43,43,0,2,2,4,2,2,4,2,2,4
44,44,0,2,2,4,2,2,4,2,2,4
45,45,0,4,4,8,4,4,8,4,4,8
46,46,0,4,4,8,4,4,8,4,4,8
47,47,0,4,4,8,4,4,8,4,4,8
48,48,0,4,4,8,4,4,8,4,4,8
49,49,0,4,4,8,4,4,8,4,4,8
50,50,0,4,4,8,4,4,8,4,4,8
51,51,0,4,4,8,4,4,8,4,4,8
52,52,0,4,4,8,4,4,8,4,4,8
53,53,0,4,4,8,4,4,8,4,4,8
54,54,0,4,4,8,4,4,8,4,4,8
55,55,0,4,4,8,4,4,8,4,4,8
56,56,0,4,4,8,4,4,8,4,4,8
57,57,0,4,4,8,4,4,8,4,4,8
58,58,0,4,4,8,4,4,8,4,4,8
59,59,0,4,4,8,4,4,8,4,4,8
60,60,0,4,4,8,4,4,8,4,4,8
61,61,0,4,4,8,4,4,8,4,4,8
62,62,0,4,4,8,4,4,8,4,4,8
63,63,0,4,4,8,4,4,8,4,4,8
64,64,0,4,4,8,4,4,8,4,4,8
65,65,0,4,4,8,4,4,8,4,4,8
66,66,0,4,4,8,4,4,8,4,4,8
67,67,0,4,4,8,4,4,8,4,4,8
68,68,0,8,8,16,8,8,16,8,8,16
69,69,0,8,8,16,8,8,16,8,8,16
70,70,0,8,8,16,8,8,16,8,8,16
71,71,0,8,8,16,8,8,16,8,8,16
72,72,0,8,8,16,8,8,16,8,8,16
73,73,0,8,8,16,8,8,16,8,8,16
74,74,0,8,8,16,8,8,16,8,8,16
75,75,0,8,8,16,8,8,16,8,8,16
76,76,0,8,8,16,8,8,16,8,8,16
77,77,0,8,8,16,8,8,16,8,8,16
78,78,0,8,8,16,8,8,16,8,8,16
79,79,0,8,8,16,8,8,16,8,8,16
80,80,0,8,8,16,8,8,16,8,8,16
81,81,0,8,8,16,8,8,16,8,8,16
82,82,0,8,8,16,8,8,16,8,8,16
83,83,0,8,8,16,8,8,16,8,8,16
84,84,0,8,8,16,8,8,16,8,8,16
85,85,0,8,8,16,8,8,16,8,8,16
86,86,0,8,8,16,8,8,16,8,8,16
87,87,0,8,8,16,8,8,16,8,8,16
88,88,0,8,8,16,8,8,16,8,8,16
89,89,0,8,8,16,8,8,16,8,8,16
90,90,0,16,16,32,16,16,32,16,16,32
91,91,0,16,16,32,16,16,32,16,16,32
92,92,0,16,16,32,16,16,32,16,16,32
93,93,0,16,16,32,16,16,32,16,16,32
94,94,0,16,16,32,16,16,32,16,16,32
95,95,0,16,16,32,16,16,32,16,16,32
96,96,0,16,16,32,16,16,32,16,16,32
