,cycle,population_active__t1,population_passive__t1,population_total__t1,uptake_active__t1,uptake_passive__t1,metabolic_active__t1,metabolic_passive__t1,population_active__t2,population_passive__t2,population_total__t2,uptake_active__t2,uptake_passive__t2,metabolic_active__t2,metabolic_passive__t2,population_active__t3,population_passive__t3,population_total__t3,uptake_active__t3,uptake_passive__t3,metabolic_active__t3,metabolic_passive__t3
0,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
1,1,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
2,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
3,3,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
4,4,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
5,5,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
6,6,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
7,7,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
8,8,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
9,9,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
10,10,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
11,11,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
12,12,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
13,13,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
14,14,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
15,15,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
16,16,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
17,17,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
18,18,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
19,19,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
20,20,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
21,21,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
22,22,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
23,23,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
24,24,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
25,25,2,1,3,2,1,0,3,2,1,3,2,1,0,3,2,1,3,2,1,0,3
26,26,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
27,27,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
28,28,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
29,29,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
30,30,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
31,31,2,2,4,2,2,0,4,2,2,4,4,0,0,4,2,2,4,4,0,0,4
32,32,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
33,33,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
34,34,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
35,35,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
36,36,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
37,37,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
38,38,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
39,39,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
40,40,4,2,6,4,2,0,6,4,2,6,6,0,0,6,4,2,6,6,0,0,6
41,41,4,2,6,4,2,0,6,8,2,10,8,2,0,10,8,2,10,8,2,0,10
42,42,4,2,6,4,2,0,6,8,4,12,8,4,0,12,8,4,12,8,4,0,12
43,43,4,2,6,4,2,0,6,8,4,12,8,4,0,12,8,4,12,8,4,0,12
44,44,4,2,6,4,2,0,6,8,4,12,8,4,0,12,8,4,12,8,4,0,12
45,45,4,2,6,4,2,0,6,8,4,12,8,4,0,12,8,4,12,8,4,0,12
46,46,4,2,6,4,2,0,6,8,4,12,8,4,0,12,8,4,12,8,4,0,12
47,47,8,2,10,8,2,0,10,8,4,12,8,4,0,12,8,4,12,8,4,0,12
48,48,8,2,10,8,2,0,10,8,4,12,8,4,0,12,8,4,12,8,4,0,12
49,49,8,2,10,8,2,0,10,8,4,12,8,4,0,12,8,4,12,8,4,0,12
50,50,8,2,10,8,2,0,10,8,4,12,8,4,0,12,8,4,12,8,4,0,12
51,51,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
52,52,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
53,53,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
54,54,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
55,55,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
56,56,8,4,12,12,0,0,12,12,4,16,12,4,0,16,12,4,16,12,4,0,16
57,57,8,4,12,12,0,0,12,14,6,20,14,6,0,20,14,6,20,14,6,0,20
58,58,8,4,12,12,0,0,12,14,6,20,14,6,0,20,14,6,20,14,6,0,20
59,59,8,4,12,12,0,0,12,14,6,20,14,6,0,20,14,6,20,14,6,0,20
60,60,8,4,12,12,0,0,12,18,6,24,18,6,0,24,18,6,24,18,6,0,24
61,61,8,4,12,12,0,0,12,18,6,24,18,6,0,24,18,6,24,18,6,0,24
62,62,8,4,12,12,0,0,12,18,6,24,18,6,0,24,18,6,24,18,6,0,24
63,63,16,4,20,18,2,0,20,18,6,24,18,6,0,24,18,6,24,18,6,0,24
64,64,16,4,20,18,2,0,20,18,6,24,18,6,0,24,18,6,24,18,6,0,24
65,65,16,4,20,18,2,0,20,18,6,24,18,6,0,24,18,6,24,18,6,0,24
66,66,16,4,20,18,2,0,20,22,6,28,22,6,0,28,22,6,28,22,6,0,28
67,67,16,8,24,22,2,0,24,24,8,32,26,6,0,32,24,8,32,26,6,0,32
68,68,16,8,24,22,2,0,24,24,8,32,26,6,0,32,24,8,32,26,6,0,32
69,69,16,8,24,22,2,0,24,24,8,32,26,6,0,32,24,8,32,26,6,0,32
70,70,16,8,24,22,2,0,24,28,8,36,30,6,0,36,28,8,36,30,6,0,36
71,71,16,8,24,22,2,0,24,28,8,36,30,6,0,36,28,8,36,30,6,0,36
72,72,16,8,24,22,2,0,24,28,8,36,30,6,0,36,28,8,36,30,6,0,36
73,73,18,8,26,22,4,0,26,28,10,38,32,6,0,38,28,10,38,32,6,0,38
74,74,18,8,26,22,4,0,26,28,10,38,32,6,0,38,28,10,38,32,6,0,38
75,75,18,8,26,22,4,0,26,28,10,38,32,6,0,38,28,10,38,32,6,0,38
76,76,18,8,26,22,4,0,26,36,10,46,40,6,0,46,36,10,46,40,6,0,46
77,77,18,8,26,22,4,0,26,36,10,46,40,6,0,46,36,10,46,40,6,0,46
78,78,30,8,38,32,6,0,38,36,10,46,40,6,0,46,36,10,46,40,6,0,46
79,79,30,8,38,32,6,0,38,40,10,50,44,6,0,50,40,10,50,44,6,0,50
80,80,30,8,38,32,6,0,38,40,10,50,44,6,0,50,40,10,50,44,6,0,50
81,81,30,8,38,32,6,0,38,40,10,50,44,6,0,50,40,10,50,44,6,0,50
82,82,30,16,46,36,10,0,46,50,14,64,58,6,0,64,50,14,64,58,6,0,64
83,83,30,16,46,36,10,0,46,50,16,66,60,6,0,66,50,16,66,60,6,0,66
84,84,30,16,46,36,10,0,46,50,16,66,60,6,0,66,50,16,66,60,6,0,66
85,85,30,16,46,36,10,0,46,54,16,70,64,6,0,70,54,16,70,64,6,0,70
86,86,30,16,46,36,10,0,46,62,16,78,72,6,0,78,62,16,78,72,6,0,78
87,87,30,16,46,36,10,0,46,62,16,78,72,6,0,78,62,16,78,72,6,0,78
88,88,38,16,54,44,10,0,54,62,18,80,74,6,0,80,62,18,80,74,6,0,80
89,89,38,16,54,44,10,0,54,66,18,84,78,6,0,84,66,18,84,78,6,0,84
90,90,38,16,54,44,10,0,54,66,18,84,78,6,0,84,66,18,84,78,6,0,84
91,91,38,16,54,44,10,0,54,72,18,90,84,6,0,90,72,18,90,84,6,0,90
92,92,38,18,56,46,10,0,56,90,26,116,108,8,0,116,90,26,116,108,8,0,116
93,93,38,18,56,46,10,0,56,90,26,116,108,8,0,116,90,26,116,108,8,0,116
94,94,54,18,72,62,10,0,72,90,26,116,108,8,0,116,90,26,116,108,8,0,116
95,95,54,18,72,62,10,0,72,102,26,128,120,8,0,128,102,26,128,120,8,0,128
96,96,54,18,72,62,10,0,72,102,26,128,120,8,0,128,102,26,128,120,8,0,128
97,97,58,18,76,66,10,0,76,102,26,128,120,8,0,128,102,26,128,120,8,0,128
98,98,58,28,86,76,10,0,86,108,32,140,130,10,0,140,108,32,140,130,10,0,140
99,99,58,28,86,76,10,0,86,108,32,140,130,10,0,140,108,32,140,130,10,0,140
100,100,58,28,86,76,10,0,86,108,32,140,130,10,0,140,108,32,140,130,10,0,140
101,101,58,28,86,76,10,0,86,150,40,190,180,10,0,190,150,40,190,180,10,0,190
102,102,58,28,86,76,10,0,86,150,40,190,180,10,0,190,150,40,190,180,10,0,190
103,103,68,28,96,86,10,0,96,150,40,190,180,10,0,190,150,40,190,180,10,0,190
104,104,76,28,104,94,10,0,104,160,42,202,192,10,0,202,160,42,202,192,10,0,202
105,105,76,28,104,94,10,0,104,166,42,208,198,10,0,208,166,42,208,198,10,0,208
106,106,76,28,104,94,10,0,104,166,42,208,198,10,0,208,166,42,208,198,10,0,208
