,cycle,population_active__t1,population_passive__t1,population_total__t1,food_crates__t1,organism_positions__t1,population_active__t2,population_passive__t2,population_total__t2,food_crates__t2,organism_positions__t2,population_active__t3,population_passive__t3,population_total__t3,food_crates__t3,organism_positions__t3
0,0,1,1,2,"[[42, 39, 20.0], [5, 47, 20.0], [23, 31, 20.0], [38, 31, 20.0], [11, 34, 20.0]]","[[39, 47, 'active'], [39, 45, 'passive']]",1,1,2,"[[50, 14, 20.0], [50, 29, 20.0], [50, 19, 20.0], [1, 14, 20.0], [11, 27, 20.0]]","[[36, 42, 'active'], [48, 30, 'passive']]",1,1,2,"[[7, 8, 20.0], [6, 14, 20.0], [22, 10, 20.0], [0, 28, 20.0], [33, 40, 20.0]]","[[38, 35, 'active'], [6, 22, 'passive']]"
1,1,1,1,2,"[[42, 39, 22.0], [5, 47, 22.0], [23, 31, 22.0], [38, 31, 22.0], [11, 34, 22.0]]","[[39, 44, 'active'], [42, 42, 'passive']]",1,1,2,"[[50, 14, 22.0], [50, 29, 22.0], [50, 19, 22.0], [1, 14, 22.0], [11, 27, 22.0]]","[[40, 40, 'active'], [50, 29, 'passive']]",1,1,2,"[[7, 8, 22.0], [6, 14, 22.0], [22, 10, 22.0], [0, 28, 22.0], [33, 40, 22.0]]","[[38, 36, 'active'], [6, 18, 'passive']]"
2,2,1,1,2,"[[42, 39, 24.0], [5, 47, 24.0], [23, 31, 24.0], [38, 31, 24.0], [11, 34, 24.0]]","[[41, 40, 'active'], [42, 41, 'passive']]",1,1,2,"[[50, 14, 24.0], [50, 29, 16.0], [50, 19, 24.0], [1, 14, 24.0], [11, 27, 24.0]]","[[44, 40, 'active'], [50, 29, 'passive']]",1,1,2,"[[7, 8, 24.0], [6, 14, 24.0], [22, 10, 24.0], [0, 28, 24.0], [33, 40, 24.0]]","[[6, 14, 'passive'], [34, 38, 'active']]"
3,3,1,1,2,"[[42, 39, 26.0], [5, 47, 26.0], [23, 31, 26.0], [38, 31, 26.0], [11, 34, 26.0]]","[[42, 40, 'passive'], [41, 39, 'active']]",1,1,2,"[[50, 14, 26.0], [50, 29, 10.0], [50, 19, 26.0], [1, 14, 26.0], [11, 27, 26.0]]","[[46, 39, 'active'], [50, 29, 'passive']]",1,1,2,"[[7, 8, 26.0], [6, 14, 18.0], [22, 10, 26.0], [0, 28, 26.0], [33, 40, 26.0]]","[[6, 14, 'passive'], [34, 39, 'active']]"
4,4,1,1,2,"[[42, 39, 28.0], [5, 47, 28.0], [23, 31, 28.0], [38, 31, 28.0], [11, 34, 28.0]]","[[42, 40, 'passive'], [42, 39, 'active']]",1,1,2,"[[50, 14, 28.0], [50, 29, 4.0], [50, 19, 28.0], [1, 14, 28.0], [11, 27, 28.0]]","[[50, 37, 'active'], [50, 29, 'passive']]",1,1,2,"[[7, 8, 28.0], [6, 14, 12.0], [22, 10, 28.0], [0, 28, 28.0], [33, 40, 28.0]]","[[33, 39, 'active'], [6, 14, 'passive']]"
5,5,1,1,2,"[[42, 39, 20.0], [5, 47, 30.0], [23, 31, 30.0], [38, 31, 30.0], [11, 34, 30.0]]","[[42, 40, 'passive'], [42, 39, 'active']]",1,1,2,"[[50, 14, 30.0], [50, 19, 30.0], [1, 14, 30.0], [11, 27, 30.0], [50, 7, 2.0]]","[[50, 29, 'passive'], [50, 35, 'active']]",1,1,2,"[[7, 8, 30.0], [6, 14, 6.0], [22, 10, 30.0], [0, 28, 30.0], [33, 40, 30.0]]","[[6, 14, 'passive'], [33, 39, 'active']]"
6,6,1,1,2,"[[42, 39, 12.0], [5, 47, 32.0], [23, 31, 32.0], [38, 31, 32.0], [11, 34, 32.0]]","[[42, 39, 'active'], [42, 39, 'passive']]",1,1,2,"[[50, 14, 32.0], [50, 19, 32.0], [1, 14, 32.0], [11, 27, 32.0], [50, 7, 4.0]]","[[50, 19, 'active'], [50, 29, 'passive']]",1,1,2,"[[7, 8, 32.0], [6, 14, 0.0], [22, 10, 32.0], [0, 28, 32.0], [33, 40, 32.0]]","[[6, 14, 'passive'], [33, 40, 'active']]"
7,7,1,1,2,"[[5, 47, 34.0], [23, 31, 34.0], [38, 31, 34.0], [11, 34, 34.0], [38, 25, 2.0]]","[[42, 39, 'passive'], [42, 39, 'active']]",1,1,2,"[[50, 14, 34.0], [50, 19, 24.0], [1, 14, 34.0], [11, 27, 34.0], [50, 7, 6.0]]","[[50, 19, 'active'], [50, 19, 'passive']]",1,1,2,"[[7, 8, 34.0], [22, 10, 34.0], [0, 28, 34.0], [33, 40, 24.0], [0, 36, 2.0]]","[[6, 14, 'passive'], [33, 40, 'active']]"
8,8,1,1,2,"[[5, 47, 36.0], [23, 31, 36.0], [38, 31, 36.0], [11, 34, 36.0], [38, 25, 4.0]]","[[38, 34, 'active'], [39, 33, 'passive']]",1,1,2,"[[50, 14, 36.0], [50, 19, 8.0], [1, 14, 36.0], [11, 27, 36.0], [50, 7, 8.0]]","[[50, 19, 'passive'], [50, 19, 'active']]",1,1,2,"[[7, 8, 36.0], [22, 10, 36.0], [0, 28, 36.0], [33, 40, 16.0], [0, 36, 4.0]]","[[7, 9, 'passive'], [33, 40, 'active']]"
9,9,1,1,2,"[[5, 47, 38.0], [23, 31, 38.0], [38, 31, 38.0], [11, 34, 38.0], [38, 25, 6.0]]","[[38, 31, 'active'], [39, 31, 'passive']]",1,1,2,"[[50, 14, 38.0], [1, 14, 38.0], [11, 27, 38.0], [50, 7, 10.0], [33, 35, 2.0]]","[[50, 19, 'passive'], [50, 19, 'active']]",1,1,2,"[[7, 8, 38.0], [22, 10, 38.0], [0, 28, 38.0], [33, 40, 8.0], [0, 36, 6.0]]","[[7, 9, 'passive'], [33, 40, 'active']]"
